Dénomination,Regroupement,Type,Libellé,Adresse,Code Postal,Ville,Pays,Longitude,Latitude,Rayon(m)
RENAULT FRANCE AUTOMOBILE,,Client / Chantier,Client,RUE DU BOIS CANY,76120,LE GRAND QUEVILLY,FRA,1.0518,49.4182,220
RENAULT ROUSSEL,,Client / Chantier,Client,AVENUE ARISTIDE BRIAND,76360,BARENTIN,FRA,0.9567,49.5408,220
RENAULT SANDOUVILLE,,Client / Chantier,Client,SCE ORDONNANC  96-54,76054,LE HAVRE,FRA,0.2949,49.4786,220
RENAULT SANDOUVILLE,,Client / Chantier,Client,ROUTE INDUSTRIELLE,76430,SANDOUVILLE,FRA,0.29457,49.48091,-1
RENAULT SOFRASTOCK,,Client / Chantier,Client,ROUTE DE COUDRE,27220,SAINT ANDRE DE L EURE,FRA,1.2541,48.8856,220
RENAULT SOFRASTOCK,,Client / Chantier,Client,RUE DES AÉRODROMES,27220,SAINT-ANDRÉ-DE-L'EURE,FRA,1.2561,48.887,220
RENAULT TECH HEUDEBOUVILLE,,Client / Chantier,Client,,27400,Heudebouville,FRA,1.22711,49.19688,-1
RENAULT TRUCKS,,Client / Chantier,Client,USINE PAUL DURLACH R CANAL,14550,BLAINVILLE SUR ORNE,FRA,-0.3069,49.2105,220
RENOSOL NORD ET EST,,Client / Chantier,Client,ZI LES HERBAGES,76170,LILLEBONNE,FRA,0.0,0.0,220
REPAR 2000,,Client / Chantier,Client,ROUTE DU HAVRE,76430,TANCARVILLE,FRA,0.0,0.0,220
RESEAU PRO,,Client / Chantier,Client,RUE D ORLEANS,14290,ORBEC,FRA,0.41,49.0201,220
RESEAU PRO,,Client / Chantier,Client,"423, ROUTE DE LYONS-LA-FORÊT",76160,SAINT-LÉGER-DU-BOURG-DENIS,FRA,1.1519,49.43398,-1
RESEAU PRO ROUEN,,Client / Chantier,Client,251  ROUTE DE LYONS,76161,DARNETAL,FRA,0.0,0.0,220
RESTAURANT,,Autre,Autre,,,,FRA,0.0,0.0,220
RESTAURANT,,Autre,Autre,1/10 RUE DE LA GARE,27940,LA CHARTREUSEFRANCE,FRA,0.0,0.0,220
RESTAURANT,,Autre,Autre,1/10 RUE DE LA GARE,27940,LA CHARTREUSEFRANCE,FRA,0.0,0.0,220
RESTAURANT,,Autre,Autre,,,,FRA,0.0,0.0,220
RESTAURANT,,Autre,Autre,,,,FRA,1.0755,49.3457,220
RESTAURANT,,Autre,Autre,,,,FRA,1.0755,49.3457,220
Restaurant des alizés (DIVERS_2),,Autre,Autre,Rue des barges rousses,76430,Sandouville,FRA,0.31541,49.47799,-1
RESTAURANT (DIVERS_2),,Autre,Autre,VOIE DES CLOUETS,27100,VAL DE REUIL,FRA,1.1833,49.2476,220
RESTAURANT (DIVERS_2),,Autre,Autre,,,,FRA,0.0,0.0,220
RESTAURANT (DIVERS_2),,Autre,Autre,,,,FRA,0.0,0.0,220
RESTAURANT (DIVERS_2),,Autre,Autre,,,,FRA,0.0,0.0,220
RESTAURANT (DIVERS_2),,Autre,Autre,,76120,GRAND QUEVILLY,FRA,1.04336,49.41601,-1
RESTAURANT FRANJO (DIVERS_2),,Autre,Autre,39 Rue Émile Zola,76350,Oissel,FRA,1.09543,49.34827,-1
RESTAURANT LA PERGOLA,,Autre,Autre,65 AVENUE JEAN JAURES,76530,GRAND COURONNE,FRA,0.9976,49.3509,220
Restaurant  LE 39   OISSEL,,Restaurant / Hôtel,Restaurant,1487 Avenue du Général de Gaulle,76350,Oissel,FRA,1.09479,49.34864,0
RESTAURANT LE REGAL (DIVERS_2),,Autre,Autre,90 Rue de la Motte,76140,Le Petit-Quevilly,FRA,1.06875,49.43407,-1
RESTAURANT LE REGAL PT QUEVILLY (DIVERS_2),,Autre,Autre,116 Rue de la Motte,76140,Le Petit-Quevilly,FRA,1.07026,49.43422,-1
Restaurant Le relai des Hayons,,Restaurant / Hôtel,Restaurant,D928,76270,Esclavelles,FRA,1.36609,49.69498,0
Restaurant  Les Andelys,,Restaurant / Hôtel,Restaurant,15 Place Nicolas Poussin,27700,Les Andelys,FRA,1.41903,49.2467,0
RESTAURANT ODYSEE,,Autre,Autre,GRANDE RUE DE QUATRE-MARES,76300,SOTTEVILLE-LÈS-ROUEN,FRA,1.10329,49.40367,-1
RESTAURANTS DU COEUR,,Client / Chantier,Client,20 RUE MASSENA,76600,LE HAVRE,FRA,0.1224,49.4936,220
RESTAURANTS DU COEUR,,Client / Chantier,Client,,76000,ROUEN,FRA,1.0908,49.441,220
RESTAURANTS DU COEUR,,Client / Chantier,Client,RUE LOUIS BLERIOT,27940,AUBEVOYE,FRA,1.3366,49.1819,220
RESTAURANT UNIVERSITAIRE,,Client / Chantier,Client,21 AVENUE DE BRUXELLES,14000,CAEN,FRA,-0.3639,49.1962,220
Resto Café,,Domicile,Domicile,"18, RUE GUY DE MAUPASSANT",76890,TOTES,FRA,1.04593,49.67954,-1
RESTO COUP DE FREIN,,Autre,Autre,RUE RAOUL DUFY,76330,NOTRE-DAME-DE-GRAVENCHON,FRA,0.5795,49.4866,220
RESTO MISTER FRANGO (DIVERS_2),,Restaurant / Hôtel,Restaurant,1458 Avenue du Général de Gaulle,76350,Oissel,FRA,1.09497,49.34828,0
RESTO PORTUGAIS (DIVERS_2),,Autre,Autre,,76120,GRAND QUEVILLY,FRA,1.03063,49.41557,-1
RESTO SOTTEVILLE LES ROUEN (DIVERS_2),,Autre,Autre,,76300,Sotteville-lès-Rouen,FRA,1.11341,49.4029,-1
RETAURANT (DIVERS_2),,Autre,Autre,,,ETREPAGNY,FRA,1.61245,49.30577,-1
RETOUX,,Domicile,Domicile,CHEMIN DE BOIS BEULANT,61250,DAMIGNY,FRA,0.0837,48.4611,220
RETOUX Loic,,Domicile,Domicile,LOTISSEMENT DE LA LIMONIÈRE,61600,SAINT-MAURICE-DU-DÉSERT,FRA,-0.3862,48.6116,220
RETOUX LOIC,,Domicile,Domicile,10T Rue d'Alençon,61250,Condé-sur-Sarthe,FRA,0.0479,48.4357,220
RETRIVER,,Client / Chantier,Client,BOULEVARD VICTOR HUGO,76390,AUMALE,FRA,1.7554,49.7727,220
REVIMA,,Client / Chantier,Client,,76490,CAUDEBEC EN CAUX,FRA,0.7295,49.5347,220
REVIVAL,,Client / Chantier,Client,RUE DE L EUROPE,14460,COLOMBELLES,FRA,0.0,0.0,220
REVIVAL,,Client / Chantier,Client,BOULEVARD DE STALINGRAD,76120,LE GRAND QUEVILLY,FRA,1.0214,49.4162,220
REXEL CENO,,Client / Chantier,Client,33 BOULEVARD LENINE ZI,76305,SOTTEVILLE LES ROUEN CDX,FRA,0.0,0.0,220
REXEL CENO,,Client / Chantier,Client,RUE GEORGES CLAUDE,14120,MONDEVILLE,FRA,-0.2982,49.1571,220
REXEL CENO,,Client / Chantier,Client,RUE JACQUARD,27000,EVREUX,FRA,1.138,49.0018,220
REXELL CENO,,Client / Chantier,Client,45 RUE GUSTAVE NICOLLE,76600,LE HAVRE,FRA,0.1447,49.4911,220
REYNAUD,,Client / Chantier,Client,RUE ABO VOLO,14730,GIBERVILLE,FRA,-0.2948,49.1707,220
REY PHILIPPE,,Client / Chantier,Client,VOIE EST DE ROUEN,76000,ROUEN,FRA,1.1159,49.4388,220
RHENUS,,Client / Chantier,Client,,76320,CAUDEBEC LES ELBEUF,FRA,1.0258,49.2908,220
RHENUS Caudebec Les Elbeufs,,Client / Chantier,Client,7 RUE CHENNEVIERE,76320,CAUDEBEC LES ELBEUF,FRA,1.0279,49.2918,220
Rhénus Caudebec Les Elbeufs,,Client / Chantier,Client,"514, RUE DE STRASBOURG",76320,CAUDEBEC-LES-ELBEUF,FRA,1.02763,49.28982,-1
RHENUS GD QUEVILLY,,Client / Chantier,Client,,76120,Le Grand-Quevilly,FRA,1.02771,49.42642,-1
RIBOT,,Client / Chantier,Client,47  SENTE DU BOIS TISON,76160,SAINT JACQUES SUR DARNETAL,FRA,0.0,0.0,220
RICHESMONTS,,Client / Chantier,Client,RUE DES ABREUVOIRS,76270,NEUFCHATEL EN BRAY,FRA,1.4359,49.7303,220
RICHESMONTS,,Client / Chantier,Client,MALICORNE,14100,SAINT DESIR,FRA,0.0,0.0,220
RICHESMONTS,,Client / Chantier,Client,91 RUE D AUNEY,14502,VIRE,FRA,0.0,0.0,220
RIETER AUTOMOTIVE FRANCE,,Client / Chantier,Client,RIETER,14460,COLOMBELLES,FRA,0.0,0.0,220
RIGAULT PHILIPPE,,Client / Chantier,Client,LE DOUET,14230,MONFREVILLE,FRA,0.0,0.0,220
RIHOUEY,,Client / Chantier,Client,,50210,RONCEY,FRA,-1.3348,48.991,220
RIOU Antoine,,Domicile,Domicile,36 Rue Grandis Sylva,27220,Grossoeuvre,FRA,1.1937,48.9396,220
RISLOISE,,Client / Chantier,Client,"12, RUE COLIN NOËL",27290,PONT-AUTHOU,FRA,0.69379,49.24494,-1
RISLOISE DE CONDITIONNEMENT,,Client / Chantier,Client,RUE COLIN,27290,PONT AUTHOU,FRA,0.0,0.0,220
RIVIERE MANUTENTION,,Client / Chantier,Client,R N  138,27270,BROGLIE,FRA,0.5655,49.0492,220
rk,,Client / Chantier,Client,3 Impasse Saint-Hildevert,27400,Louviers,FRA,1.1717,49.2234,220
RL DISTRIBUTION,,Client / Chantier,Client,BOULEVARD GEORGES CLEMENCEAU,27400,LOUVIERS,FRA,1.1666,49.21,220
RL DISTRIBUTION,,Client / Chantier,Client,36 RUE JACQUES MONOD,27000,EVREUX,FRA,1.1807,49.0228,220
RL DISTRIBUTION,,Client / Chantier,Client,,27000,EVREUX,FRA,1.1398,49.0181,220
RM FERRIERES - SUPER U,,Client / Chantier,Client,RUE COPERNIC,76220,GOURNAY EN BRAY,FRA,1.7165,49.4803,220
RMS,,Client / Chantier,Client,RUE DES FRERES LUMIERE,14100,LISIEUX,FRA,0.2612,49.1481,220
ROBATEL INDUSTRIE,,Client / Chantier,Client,ZI DE DIGULLEVILLE,50440,BEAUMONT HAGUE,FRA,0.0,0.0,220
ROBERT BOSCH ELECTRONIQUE,,Client / Chantier,Client,RUE CHARLES DE COULOMB,14120,MONDEVILLE,FRA,-0.3138,49.1636,220
ROBIN CHILARD,,Client / Chantier,Client,RUE JOSEPH CUGNOT,50000,SAINT-LÃ,FRA,-1.0509,49.1119,220
ROCHER Christophe,,Domicile,Domicile,CHEMIN DE LA GUILLOTERIE,72600,MAMERS,FRA,0.3621,48.3581,220
ROCKWOOD ELECTRONICS,,Client / Chantier,Client,LES  VIEILLES TOURS,50620,SAINT FROMOND,FRA,0.0,0.0,220
RO DA PRIM,,Client / Chantier,Client,AVENUE DU COMMANDANT BICHERAY,76000,ROUEN,FRA,1.0569,49.4507,220
ROGE AURELIEN,,Domicile,Domicile,142 Rue du Mémont,27910,Perruel,FRA,1.35398,49.43732,-1
ROLL MANUTENTION,,Client / Chantier,Client,QUAI DE RADICATEL,76170,LILLEBONNE,FRA,0.0,0.0,220
Romain Hoypierre,,Domicile,Domicile,367 Route de la Chapelle,76750,Sainte-Croix-sur-Buchy,FRA,1.32507,49.56095,-1
ROTOFRANCE,,Client / Chantier,Client,2 RUE ALBERT SCHWEITZER,14280,SAINT CONTEST,FRA,0.0,0.0,220
ROTOFRANCE,,Client / Chantier,Client,RUE DU CANAL,14550,BLAINVILLE SUR ORNE,FRA,0.0,0.0,220
ROTO MULTIPLES IMPRIMERIE,,Client / Chantier,Client,ZONE INDUSTRIELLE,61300,CRULAI,FRA,0.0,0.0,220
ROUEN PARC EXPO,,Client / Chantier,Client,CHEMIN DE LA POUDRIÈRE,76120,LE GRAND-QUEVILLY,FRA,1.05362,49.39478,-1
ROUEN PNEUS CAUX,,Client / Chantier,Client,,76450,OURVILLE EN CAUX,FRA,0.598,49.7329,220
ROUEN VEHICULES INDUSTRIELS,,Client / Chantier,Client,RUE DU CLOS DU TELLIER,76805,SAINT ETIENNE DU ROUVRAY,FRA,0.0,0.0,220
ROUGETTE TECHNOLOGIES,,Client / Chantier,Client,RUE VAILLANCOURT,76510,SAINT NICOLAS D ALIERMONT,FRA,1.2494,49.873,220
ROUQUETTE,,Bureau / Dépôt,Bureau,Rue de la Gare,14800,Saint-Arnoult,FRA,0.101,49.3397,220
Route service,,Client / Chantier,Client,,27400,Heudebouville,FRA,1.22659,49.19794,-1
ROVAL,,Client / Chantier,Client,C9,61700,DOMFRONT,FRA,-0.6451,48.5824,220
ROVAL,,Client / Chantier,Client,47  RUE DE LA PLANQUETTE,61101,FLERS,FRA,0.0,0.0,220
ROWENTA FRANCE,,Client / Chantier,Client,4  RUE DU VIROLET,27200,VERNON,FRA,0.0,0.0,220
ROXANE,,Client / Chantier,Client,LE CLOS DES SOURCES,61003,ALENCON,FRA,0.0,0.0,220
ROXANE,,Client / Chantier,Client,D1,61420,LA FERRIÈRE-BOCHARDFRANCE(À 0.2 KM),FRA,-0.0337,48.4127,220
ROYER Sylvain,,Domicile,Domicile,3 Impasse Françoise Sagan,14440,CRESSERONS,FRA,-0.3517,49.2884,220
RP DIFFUSION,,Client / Chantier,Client,,76320,Caudebec-lès-Elbeuf,FRA,1.02676,49.28861,-1
RSI,,Client / Chantier,Client,Allée des Marronniers,27400,Heudebouville,FRA,1.2273,49.19756,-1
RTE TRANSPORT ELECTRICITE,,Client / Chantier,Client,NORMANDIE PARIS,76153,MAROMME,FRA,0.0,0.0,220
RTM TOP-LOTS,,Client / Chantier,Client,15 AVENUE DU COMMANDANT,76000,ROUEN,FRA,0.0,0.0,220
RUE,,Client / Chantier,Client,,27400,LOUVIERS,FRA,1.1827,49.2077,220
RUEL SDV TRANSPORTS,,Client / Chantier,Client,17 AVENUE DE L INDUSTRIE,61200,ARGENTAN,FRA,-0.0252,48.7324,220
RVI,,Client / Chantier,Client,,,BLAINVILLE SUR ORNE,FRA,-0.3095,49.20805,-1
S2PI VERDUN P ET L,,Client / Chantier,Client,4 RUE DE L AUGET,27660,BEZU SAINT ELOI,FRA,0.0,0.0,220
SAANE,,Client / Chantier,Client,INTERMARCHE,76810,LUNERAY,FRA,0.0,0.0,220
SAB SOCIETE D ASSEMBLAGE,,Client / Chantier,Client,ROUTE D ECOS,27620,GASNY,FRA,1.5999,49.1003,220
SACB,,Client / Chantier,Client,MOULIN DE LA FOULONNERIE,14130,COQUAINVILLIERS,FRA,0.0,0.0,220
Saco,,Client / Chantier,Client,Route des Andelys,27940,Courcelles-sur-Seine,FRA,1.3686,49.1893,150
SAEC FRERES,,Client / Chantier,Client,,76140,LE PETIT QUEVILLY,FRA,1.057,49.4236,220
SAELEN Jonathan,,Domicile,Domicile,2  rue Antoine de Saint,27930,SACQUENVILLE,FRA,1.0727,49.0873,220
SAEM DE GESTION DU CID,,Client / Chantier,Client,AVENUE LUCIEN BARRIERE,14800,DEAUVILLE,FRA,0.0697,49.3599,220
SAEMT,,Client / Chantier,Client,RUE DES HAUTES VALLEES,76930,OCTEVILLE SUR MER,FRA,0.1314,49.554,220
SAETREMYR CHERBOURG,,Client / Chantier,Client,ZONE PRODUIMER,50110,TOURLAVILLE,FRA,0.0,0.0,220
SAFBA,,Client / Chantier,Client,,76740,FONTAINE LE DUN,FRA,0.8486,49.8138,220
SAFET EMBAMET,,Client / Chantier,Client,PORTE DE BRETEUIL,27130,VERNEUIL-SUR-AVRE,FRA,0.9253,48.7423,220
SAFETY KLEEN,,Client / Chantier,Client,RUE LEFEVRE,14320,SAINT ANDRE SUR ORNE,FRA,0.0,0.0,220
SAFETY KLEEN,,Client / Chantier,Client,"34, RUE ROLAND DURU",76770,MALAUNAY,FRA,1.03963,49.526,-1
SAFI,,Client / Chantier,Client,RUE JEAN BAPTISTE BIOT,61300,L AIGLE,FRA,0.6391,48.7645,220
SAFNOR,,Client / Chantier,Client,12 RUE DES METIERS,14280,AUTHIE,FRA,0.0,0.0,220
SAGA AIR,,Client / Chantier,Client,AEROPORT ROUEN VALLEE DE,76520,BOOS,FRA,0.0,0.0,220
SAGA PT COURONNE,,Client / Chantier,Client,Z.Art. de la Voûte,76120,Le Grand-Quevilly,FRA,1.02994,49.39728,-1
SAGATRANS 2,,Client / Chantier,Client,BOULEVARD DE L îLE AUX OISEAUX,76530,GRAND COURONNE,FRA,0.0,0.0,220
SAI AUTOMOTIVE SANDOUVILLE,,Client / Chantier,Client,ZI PORTUAIRE,76430,SANDOUVILLE,FRA,0.2844,49.4783,220
SAINT ANDRE PLASTIQUE,,Client / Chantier,Client,5  IMPASSE BALLEROY,50680,SAINT ANDRE DE L EPINE,FRA,-1.0107,49.1398,220
SAINT EMILE,,Client / Chantier,Client,,50710,CREANCES,FRA,-1.5636,49.2037,220
SAINTENY MENUISERIES,,Client / Chantier,Client,ROUTE DE L'ORME (D971),50500,SAINTENYFRANCE,FRA,-1.3148,49.2456,220
SAINT FIRMIN PRODUCTION,,Client / Chantier,Client,ROBERTO,76560,OHERVILLE,FRA,0.0,0.0,220
SAINT GOBAIN ABRASIFS,,Client / Chantier,Client,RUE DE LA VALLEE,14100,LISIEUX,FRA,0.2212,49.1648,220
SAINT GOBAIN SOLCERA,,Client / Chantier,Client,RUE DE L INDUSTRIE,27000,EVREUX,FRA,1.1806,49.0175,220
SAINTHIMAT,,Client / Chantier,Client,RUE DES JONCS MARINS,27600,GAILLON,FRA,1.3711,49.1574,220
SAINT LO DIFFUSION PRESSE,,Client / Chantier,Client,RUE LEON JOUHAUX,50000,SAINT LO,FRA,-1.0555,49.1107,220
SAINT NICOLAS,,Client / Chantier,Client,34 RUE DE LA MAIRIE,27340,MARTOT,FRA,1.065,49.2938,220
SAINT VALERY DISTRIBUTION,,Client / Chantier,Client,RUE MAX LECLERC,76460,SAINT VALERY EN CAUX,FRA,0.7101,49.8698,220
SAIPEM,,Client / Chantier,Client,ZI PORTUAIRE,76430,SAINT VIGOR D  YMONVILLE,FRA,0.0,0.0,220
SAIPOL,,Client / Chantier,Client,RUE DU MOULIN,76530,GRAND COURONNE,FRA,1.0117,49.3642,100
SALAISONS DE LA TOUQUES,,Client / Chantier,Client,ZONE D ACTIVITé DE BEAUMONT,61230,CROISILLES,FRA,0.2856,48.7743,220
SALINS DU MIDI,,Client / Chantier,Client,122 AVENUE JEAN LORRAIN,76400,FECAMP,FRA,0.3819,49.7615,220
SALMAT,,Client / Chantier,Client,Z I  D OUDALLE,76430,OUDALLE,FRA,0.0,0.0,220
SALMAT,,Client / Chantier,Client,Z I  CARPIQUET,14650,CARPIQUET,FRA,0.0,0.0,220
SAMAC,,Client / Chantier,Client,PARC DES GAILLONS,61400,MORTAGNE AU PERCHE,FRA,0.5119,48.5356,220
SAMP GROUPE ISTRA,,Client / Chantier,Client,RUE DE LA NOUVELLE IDEE,50200,COUTANCES,FRA,-1.4267,49.0667,220
SANCHEZ,,Client / Chantier,Client,BOULEVARD GUSTAVE TIMMERMAN,14140,LIVAROT,FRA,0.1547,49.0154,220
SAND DEC,,Client / Chantier,Client,Z  I  DE LA PIPE,76260,ETALONDES,FRA,1.3942,50.0229,220
SANDERS,,Client / Chantier,Client,D83,14740,BRETTEVILLE-L'ORGUEILLEUSE,FRA,-0.5135,49.2044,220
SANDERS OUEST,,Client / Chantier,Client,12 RUE DE LA GARE,14650,CARPIQUET,FRA,-0.4482,49.1901,220
SANDI - BRICOMARCHE,,Client / Chantier,Client,,76710,MONTVILLE,FRA,1.0807,49.5475,220
SANDOUVILLE .,,Domicile,Domicile,ROUTE INDUSTRIELLE,76430,SANDOUVILLE,FRA,0.2833,49.4757,220
SANE SERC,,Client / Chantier,Client,VOIE DES COLVERTS,76430,SANDOUVILLE,FRA,0.3144,49.4761,220
SANE SERC,,Client / Chantier,Client,AVENUE MARCEL LE MIGNOT,76700,HARFLEUR,FRA,0.0,0.0,220
SANICOOPA,,Client / Chantier,Client,ROUTE DE TERCEI,61200,ARGENTAN,FRA,-0.0079,48.7285,220
SANMINA FRANCE TOURLAVILL,,Client / Chantier,Client,RUE DES NOISETIERS,50110,TOURLAVILLE,FRA,-1.5813,49.6356,220
SANOFI,,Client / Chantier,Client,,,,FRA,0.0,0.0,220
SANOFI CHIMIE,,Client / Chantier,Client,,76410,SAINT AUBIN LES ELBEUF,FRA,1.0085,49.3078,220
SANOFI CHIMIE,,Client / Chantier,Client,"1, RUE DE LA PAIX",76410,SAINT-AUBIN-LÈS-ELBEUF,FRA,1.00883,49.30777,-1
SANOFI PASTEUR SITE O,,Client / Chantier,Client,,,,FRA,0.0,0.0,220
SANOFI WINTHROP  INDUSTRIE,,Client / Chantier,Client,RUE EDOUARD BRANLY,14100,LISIEUX,FRA,0.2735,49.1472,220
SANTRA PLUS,,Fournisseur,Fournisseur,"13, RUE EDMOND PIGOREAU",76170,LILLEBONNE,FRA,0.53312,49.52136,-1
SAPN,,Client / Chantier,Client,ECHANGEUR DES ESSARTS,76530,GRAND COURONNE,FRA,0.0,0.0,220
SAPN,,Client / Chantier,Client,ÉCHANGEUR DE SAINT-ROMAIN-DE-COLBOSC,76430,ÉPRETOT,FRA,0.33679,49.55143,-1
SAPP MAXIM S,,Client / Chantier,Client,14 RUE ALBERT EINSTEIN,76150,SAINT JEAN DU CARDONNAY,FRA,0.0,0.0,220
SARENS MANUTENTION,,Client / Chantier,Client,CHEZ COFLEXIP,76580,LE TRAIT,FRA,0.0,0.0,220
SARL  Bauer,,Client / Chantier,Client,17 Chemin du Moulin Foulon,27490,Clef Vallée d'Eure,FRA,1.20761,49.12958,0
SARM,,Client / Chantier,Client,RUE DU PONT VI,76600,LE HAVRE,FRA,0.1611,49.4847,220
SARTILLY INDUSTRIE,,Client / Chantier,Client,ZA DES MESNILS,50520,JUVIGNY LE TERTRE,FRA,-1.0375,48.6817,220
SARTILLY INDUSTRIES,,Client / Chantier,Client,LE REVERDY,50520,JUVIGNY LE TERTRE,FRA,0.0,0.0,220
SAS,,Client / Chantier,Client,930 Route de la Brèche aux Loups,27340,Criquebeuf-sur-Seine,FRA,1.10981,49.29781,0
SAS CAMILLE SUPER U,,Client / Chantier,Client,RTE DE NEUFCHATEL,76440,SERQUEUX,FRA,1.5391,49.6228,220
SAS ENVIE 2E,,Client / Chantier,Client,,76410,SAINT AUBIN LES ELBEUF,FRA,1.0208,49.3058,220
SATA,,Client / Chantier,Client,APPLIC TECHN ASSEMB,27640,BREUILPONT,FRA,0.0,0.0,220
SATELEC,,Client / Chantier,Client,D976,50220,POILLEYFRANCE(Ã 0.287 KM),FRA,-1.3326,48.6262,220
SATHERNA,,Client / Chantier,Client,RUE DU BELVEDERE,27190,CONCHES EN OUCHE,FRA,0.9392,48.9679,220
SATI,,Client / Chantier,Client,4  ROUTE DE ROUELLES,76700,HARFLEUR,FRA,0.0,0.0,220
SATIMAT,,Client / Chantier,Client,RUE DE NORMANDIE,76260,LONGROY,FRA,1.5495,49.9836,220
SATREMT,,Client / Chantier,Client,,76600,LE HAVRE,FRA,0.1318,49.4959,220
SAUR FRANCE,,Client / Chantier,Client,RUE DES FRERES CHAPPE,14540,GRENTHEVILLE,FRA,0.0,0.0,220
SAVALLE,,Client / Chantier,Client,HAMEAU DE LA GARENNE,76430,SAINNEVILLE,FRA,0.0,0.0,220
SAVB,,Client / Chantier,Client,ZI PARC DES EXPOSITIONS,27300,BERNAY,FRA,0.0,0.0,220
SAVEURS & CO,,Client / Chantier,Client,RUE JOSEPH CUGNOT,50000,SAINT LO,FRA,-1.047,49.1146,220
SAVEURS DE FRANCE,,Client / Chantier,Client,Z A  LE CLOS MESNIL,27110,LE NEUBOURG,FRA,0.0,0.0,220
SAVIMO,,Client / Chantier,Client,3 ROUTE DE FALAISE,61200,ARGENTAN,FRA,-0.0283,48.7492,220
SC2N VALEO,,Client / Chantier,Client,45 RUE CHARLES DE,14125,MONDEVILLE,FRA,0.0,0.0,220
SCA HYGIENE PAPER SA,,Client / Chantier,Client,5 QUAI GUSTAVE FLAUBERT,76380,DIEPPEDALLE CROISSET,FRA,1.0194,49.4229,220
SCA HYGIENE PRODUCTS,,Client / Chantier,Client,ZONE INDUSTRIELLE SUD,61260,LE THEIL,FRA,0.6782,48.2578,220
SCANGAULE,,Client / Chantier,Client,18 RUE MARCEL PAGNOL,27930,GRAVIGNY,FRA,1.157,49.0475,220
SCA NORD,,Client / Chantier,Client,D107,61260,VAL-AU-PERCHE,FRA,0.6832,48.2655,220
SCA NORMANDE,,Client / Chantier,Client,CENTRALE D ACHATS,14101,LISIEUX,FRA,0.0,0.0,220
SCA NORMANDE,,Client / Chantier,Client,RUE PAUL CORNU,14100,LISIEUX,FRA,0.2198,49.1681,220
SCA TIMBER FRANCE,,Client / Chantier,Client,BOULEVARD DE LA REPUBLIQUE,76400,FECAMP,FRA,0.38,49.759,220
SCA TISSUE - GEORGIA,,Client / Chantier,Client,D 71,27400,ACQUIGNY,FRA,1.1769,49.1793,220
SCA TISSUE - GEORGIA,,Client / Chantier,Client,ROUTE DE LOUVIERS,27400,HONDOUVILLE,FRA,1.1425,49.1421,220
SCEA DU GRAND MELON,,Client / Chantier,Client,LA BASSE BEAUDONNIERE,50670,CUVES,FRA,0.0,0.0,220
SCEEN ECLAIRAGE,,Client / Chantier,Client,3 AVENUE DU FRESNE,14760,BRETTEVILLE SUR ODON,FRA,-0.4227,49.1647,220
SCENE NATIONALE EVREUX,,Client / Chantier,Client,PLACE DE GAULLE,27000,EVREUX,FRA,1.151,49.0268,220
SCHENKER,,Client / Chantier,Client,,27100,Val-de-Reuil,FRA,1.17853,49.24943,-1
SCHENKER JOYAU,,Client / Chantier,Client,A154,27100,VAL-DE-REUIL,FRA,1.17869,49.2489,-1
SCHENKER JOYAU ST ETIENNE,,Client / Chantier,Client,RUE DU BUISSONNET,76800,SAINT-ÉTIENNE-DU-ROUVRAY,FRA,1.11429,49.39154,-1
SCHENKER ST ETIENNE 1,,Client / Chantier,Client,,76800,Saint-Étienne-du-Rouvray,FRA,1.11413,49.39229,-1
SCHERING-PLOUGH,,Client / Chantier,Client,RUE LOUIS PASTEUR,14200,HEROUVILLE SAINT CLAIR,FRA,-0.3413,49.2102,220
SCHIETTECATTE,,Client / Chantier,Client,LA PREE,27170,COMBON,FRA,0.0,0.0,220
SCHNEIDER,,Client / Chantier,Client,Rue du Pont-Vert,27100,Le Vaudreuil,FRA,1.21564,49.26009,-1
SCIAGE ET CAROTTAGE DE,,Client / Chantier,Client,405 RUE DU ROMBOSC,76690,FONTAINE LE BOURG,FRA,0.0,0.0,220
SCIERIE LEFEVRE,,Client / Chantier,Client,42  RUE DE PARIS,76950,LES GRANDES VENTES,FRA,0.0,0.0,220
SCIERIE SCHLEGEL,,Client / Chantier,Client,,76270,NEUVILLE FERRIERES,FRA,1.4566,49.7145,220
SCIERIE SECHOIRS,,Client / Chantier,Client,ROUTE DE DAMVILLE,27930,ANGERVILLE LA CAMPAGNE,FRA,0.0,0.0,220
SCIERIE ST JACQUES,,Client / Chantier,Client,RUE SAINT-RADEGONDE,76270,NEUFCHÂTEL-EN-BRAY,FRA,1.43102,49.72646,-1
SCN,,Client / Chantier,Client,ROUTE DE LOUVIERS,27190,CONCHES EN OUCHE,FRA,0.9506,48.9757,220
SCOOTLIB,,Client / Chantier,Client,"10, RUE DES JARDINIERS",76000,ROUEN,FRA,1.13461,49.437,-1
SCORBEL,,Client / Chantier,Client,14 Rue du Général de Gaulle,14590,Moyaux,FRA,0.3612,49.1915,220
Scorpion,,Client / Chantier,Client,Rue Hédouin Heullant,76410,Saint-Aubin-lès-Elbeuf,FRA,1.0069,49.3005,220
SCORTEL,,Client / Chantier,Client,Z A  DE LA LANDE,50290,COUDEVILLE,FRA,0.0,0.0,220
SCOTTS FRANCE SAS,,Client / Chantier,Client,USINE DE BOURTH,27580,BOURTH,FRA,0.7828,48.768,220
